mlbam_id,nkey,name,age,PA,xwoba,avg_best_speed,avg_swing_speed,pts_pa,prospect_name,pipeline_rank,prospect_pos,prospect_age,prospect_level,prospect_org,milb_age,milb_level,milb_PA,milb_AVG,milb_OBP,milb_SLG,milb_OPS,milb_ISO,milb_K,milb_BB,milb_HR,milb_SB,milb_bat_z,level_age_score,milb_bat_score,career_AB,career_PA,rookie_eligible,pedigree,mlb_sample,PAS,prospect_status,BI,proj_pts_600,proj_rank_600,owner
815690,grady emerson,Grady Emerson,18.0,,,,,,Grady Emerson,10.0,SS,18.0,A,tb,,,,,,,,,,,,,,,,0.0,0.0,True,0.91,,56.8,top-100 prospect,,,,GK
800604,roch cholowsky,Roch Cholowsky,21.0,,,,,,Roch Cholowsky,11.0,SS,21.0,A+,cws,,,,,,,,,,,,,,,,0.0,0.0,True,0.9,,56.5,top-100 prospect,,,,CH
814409,seaver king,Seaver King,23.0,,,,,,Seaver King,71.0,SS,23.0,ALL (2),was,23.2,AAA,356.0,0.2893081761006289,0.361,0.497,0.858,0.20754716981132076,0.22752808988764045,0.07865168539325842,16.0,10.0,0.1506629103997573,0.9950000000000001,0.5301325820799515,0.0,0.0,True,0.30000000000000004,,56.1,top-100 prospect,,,,FA
828098,jojo parker,JoJo Parker,20.0,,,,,,JoJo Parker,26.0,SS,20.0,ALL (2),tor,19.9,A,399.0,0.25846153846153846,0.388,0.471,0.859,0.2123076923076923,0.24812030075187969,0.15789473684210525,13.0,22.0,0.6129205620600836,0.2660000000000001,0.6225841124120167,0.0,0.0,True,0.75,,56.0,top-100 prospect,,,,FA
694514,sterlin thompson,Sterlin Thompson,25.0,77.0,0.295,100.340930417,75.4,0.8571428571428571,,,,,,,25.0,AAA,408.0,0.329153605015674,0.475,0.53,1.005,0.2006269592476489,0.14705882352941177,0.18872549019607843,14.0,21.0,1.8165219627809823,0.725,0.8633043925561965,69.0,77.0,True,0.15,0.6734578381437465,55.1,rookie,,,,FA
815929,jhonny level,Jhonny Level,19.0,,,,,,Jhonny Level,47.0,SS,19.0,ALL (2),sf,19.3,A+,331.0,0.30201342281879195,0.363,0.473,0.836,0.17114093959731544,0.18126888217522658,0.07854984894259819,8.0,15.0,0.18846253490302578,0.5879999999999999,0.5376925069806051,0.0,0.0,True,0.54,,54.5,top-100 prospect,,,,FA
822518,vahn lackey,Vahn Lackey,21.0,,,,,,Vahn Lackey,19.0,C,21.0,ALL (2),min,,,,,,,,,,,,,,,,0.0,0.0,True,0.8200000000000001,,53.7,top-100 prospect,,,,FA
702679,demetrio crisantes,Demetrio Crisantes,22.0,,,,,,Demetrio Crisantes,75.0,2B,22.0,ALL (4),ari,21.8,AAA,209.0,0.27807486631016043,0.343,0.412,0.755,0.13368983957219252,0.15311004784688995,0.0861244019138756,3.0,0.0,-0.15242086191383716,1.0,0.46951582761723254,0.0,0.0,True,0.26,,53.3,top-100 prospect,,,,FA
691728,zac veen,Zac Veen,24.5,69.0,0.286,101.552064667,72.5,1.0434782608695652,,,,,,,24.5,AAA,445.0,0.32653061224489793,0.402,0.635,1.037,0.3086734693877551,0.20449438202247192,0.10786516853932585,24.0,18.0,1.2087493923962545,0.8,0.7417498784792509,93.0,106.0,True,0.15,0.5829088851160158,52.5,rookie,,,,FA
703448,cam cannarella,Cam Cannarella,23.0,,,,,,Cam Cannarella,85.0,OF,23.0,ALL (3),mia,22.8,AAA,206.0,0.28160919540229884,0.393,0.42,0.813,0.13793103448275862,0.23786407766990292,0.1407766990291262,3.0,11.0,0.38554672768652026,1.0,0.5771093455373041,0.0,0.0,True,0.16000000000000003,,52.5,top-100 prospect,,,,FA
