mlbam_id,name,p,bi_rank,breakout_next,next_pts
650402,Gleyber Torres,1.1281984368860851,166,0,356.0
682928,CJ Abrams,1.1249009422092038,167,0,722.0
663697,Jonathan India,1.1214090796244207,168,0,49.0
668709,JJ Bleday,1.1177796423516264,169,0,479.0
672356,Gabriel Arias,1.091910304591828,170,0,129.0
660670,Ronald Acuña Jr.,1.0877037026477447,171,0,481.0
672515,Gabriel Moreno,1.0814844929848748,172,0,553.0
628451,Andy Ibáñez,1.0800344794709098,173,0,8.0
662139,Daulton Varsho,1.0671723431473326,174,0,444.0
621566,Matt Olson,1.0652184682747787,175,0,677.0
667670,Brent Rooker,1.0632250318683922,176,0,182.0
666160,Mickey Moniak,1.0616814829544647,177,0,416.0
646240,Rafael Devers,1.0592098414948077,178,0,686.0
545361,Mike Trout,1.0512774604516382,179,0,588.0
676694,Jake Meyers,1.042508675961803,180,0,118.0
694374,Tim Tawa,1.0091776631505633,181,0,292.0
810938,Ben Williamson,1.006457747356593,182,0,243.0
669221,Sean Murphy,1.0062648061470434,183,0,74.0
608369,Corey Seager,0.9954130897870722,184,0,351.0
663993,Nathaniel Lowe,0.9940904072214214,185,0,382.0
660821,Jesús Sánchez,0.9921375699489335,186,0,266.0
666139,Josh Lowe,0.9904310839281043,187,0,268.0
663757,Trent Grisham,0.988680859028907,188,0,472.0
663698,Joey Bart,0.9848549856551634,189,0,120.0
664034,Ty France,0.9843380419228557,190,0,473.0
608070,José Ramírez,0.9782529129319366,191,0,508.0
642708,Amed Rosario,0.9573635110859939,192,0,207.0
673548,Seiya Suzuki,0.9452462417311198,193,0,647.0
607208,Trea Turner,0.9450070734011681,194,0,599.0
669242,Tommy Edman,0.9181851912847493,195,0,281.0
666971,Lourdes Gurriel Jr.,0.9099896643139951,196,0,149.0
665742,Juan Soto,0.9009930678520903,197,0,487.0
683766,Christian Koss,0.8803143127764883,198,0,138.0
694497,Evan Carter,0.8732823617116213,199,0,372.0
668930,Brice Turang,0.867279505757698,200,0,696.0
672820,Lenyn Sosa,0.8635371367862318,201,0,76.0
665966,Carlos Narváez,0.8550635222748767,202,0,169.0
677950,Alek Thomas,0.852031014086737,203,0,104.0
664040,Brandon Lowe,0.8515591404430516,204,0,619.0
547180,Bryce Harper,0.8336871638815037,205,0,694.0
694192,Jackson Chourio,0.8325860248602216,206,0,638.0
663968,Jake Mangum,0.8296355303443377,207,0,455.0
666181,Will Benson,0.8281149362632684,208,0,86.0
666023,Freddy Fermin,0.8208887084772954,209,0,217.0
805779,Jacob Wilson,0.8126022132068795,210,0,310.0
641933,Tyler O'Neill,0.8119490188627861,211,0,233.0
680779,Henry Davis,0.8056022513422609,212,0,250.0
656775,Cedric Mullins,0.7814582873017484,213,0,434.0
607043,Brandon Nimmo,0.7708753504758318,214,0,563.0
670541,Yordan Alvarez,0.755989879608107,215,1,772.0
670231,John Rave,0.7545974183164476,216,0,138.0
670156,Miles Mastrobuoni,0.7471725675631669,217,0,16.0
621020,Dansby Swanson,0.7279113571806538,218,0,489.0
663656,Kyle Tucker,0.7265823133996088,219,0,549.0
593871,Jorge Polanco,0.7254689421010604,220,0,73.0
571448,Nolan Arenado,0.7236039834720688,221,0,529.0
665161,Jeremy Peña,0.7221441420270912,222,0,449.0
664238,Dylan Moore,0.7172266763324309,223,0,9.0
665489,Vladimir Guerrero Jr.,0.716998630559488,224,0,504.0
656716,Zach McKinstry,0.7125461151709718,225,0,307.0
672761,Wenceel Pérez,0.7113276129903299,226,0,146.0
