"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Miller, Erik",669062,SF,ST,Sweeper,-0.7,-2,208,16.4,47,0.244,0.415,0.334,37.5,42.6,22.5,0.178,0.295,0.265,28.6
"Suter, Brent",608718,CIN,SL,Slider,-0.7,-1,166,16.2,47,0.261,0.522,0.337,24.7,27.7,20.3,0.247,0.465,0.312,27.3
"Dunning, Dane",641540,TEX,CH,Changeup,-1.1,-2,210,12.4,47,0.233,0.488,0.335,33.0,25.5,18.5,0.253,0.431,0.326,29.0
"Uribe, Abner",682842,MIL,SI,Sinker,-0.5,-1,166,64.3,47,0.282,0.436,0.384,20.0,10.6,17.2,0.297,0.458,0.396,52.9
"Marinaccio, Ron",676760,NYY,FF,4-Seam Fastball,1.9,4,201,50.9,47,0.15,0.2,0.249,27.3,25.5,23.1,0.166,0.229,0.248,37.9
"Rodríguez, Manuel",655889,TB,SI,Sinker,0.5,1,189,31.2,47,0.316,0.368,0.384,14.4,2.1,4.8,0.314,0.403,0.371,33.3
"Bazardo, Eduard",660825,SEA,ST,Sweeper,0.8,2,206,46.7,47,0.222,0.311,0.242,33.0,36.2,23.0,0.211,0.282,0.225,31.0
"Imanaga, Shota",684007,CHC,ST,Sweeper,0.3,1,196,7.6,47,0.267,0.311,0.274,35.4,31.9,22.4,0.246,0.345,0.275,33.3
"Martin, Davis",663436,CWS,FF,4-Seam Fastball,-1.9,-5,254,28.5,47,0.389,0.472,0.454,20.2,21.3,13.9,0.266,0.392,0.384,34.6
"Oller, Adam",670124,MIA,SV,Slurve,2.1,4,183,25.8,47,0.136,0.159,0.167,32.9,38.3,25.7,0.177,0.255,0.223,26.9
"Houser, Adrian",605288,NYM,FF,4-Seam Fastball,-0.6,-1,190,16.8,47,0.179,0.333,0.299,19.3,25.5,17.6,0.244,0.486,0.372,48.1
