player,pos,mlb,owner,age,fpts,IP,K,ER,BS,QS,CG,SHO,GP
Braydon Fisher,SP,TOR,FA,26,,72.1,71,26,0,0,0,0,71
Reynaldo Lopez,SP,ATL,FA,32,,76.1,71,35,0,1,0,0,25
Luis Medina,SP,ATH,FA,27,,67.1,86,25,4,0,0,0,53
Javier Assad,SP,CHC,FA,29,,89,58,35,0,1,0,0,24
Kai-Wei Teng,SP,HOU,FA,27,,73.2,73,39,0,2,0,0,30
Ryan Gusto,SP,MIA,FA,27,,78.1,65,36,0,2,0,0,21
Ryan Johnson,SP,LAA,FA,24,,84.1,63,48,0,4,0,0,19
Jake Latz,SP,TEX,FA,30,,64.2,72,13,3,0,0,0,52
Griffin Canning,SP,SD,FA,30,,80.2,81,52,0,1,0,0,26
Edward Cabrera,SP,CHC,FA,28,,76,67,48,0,4,0,0,15
Luis Severino,SP,ATH,FA,32,,62.2,65,29,0,3,0,0,12
Bradgley Rodriguez,SP,SD,FA,22,,66.1,74,17,5,0,0,0,63
Brad Lord,SP,WSH,FA,26,,77.2,71,35,2,0,0,0,37
Grayson Rodriguez,SP,LAA,FA,26,107.67,81.2,75,57,0,2,0,0,17
Dean Kremer,SP,MIN,CH,30,,71.2,69,45,0,3,0,0,14
Randy Dobnak,SP,KC,FA,31,,69.1,47,21,0,3,0,0,13
Trevor McDonald,SP,SF,FA,25,107.33,70.1,57,40,0,5,0,0,14
Zac Gallen,SP,ARI,Dpf,31,,101.1,62,70,0,3,0,0,20
Tim Mayza,SP,PHI,FA,34,,64.1,63,22,0,0,0,0,55
Jovani Moran,SP,BOS,FA,29,,62,68,23,1,0,0,0,47
Stephen Kolek,SP,KC,FA,29,,54,34,27,0,5,1,1,10
Miles Mikolas,SP,WSH,FA,38,,116,58,75,0,0,0,0,25
Mason Fluharty,SP,TOR,FA,25,,58,63,22,0,0,0,0,77
Jack Dreyer,SP,LAD,FA,27,,58.1,68,19,3,0,0,0,62
Patrick Corbin,SP,TOR,FA,37,,80,63,49,0,1,0,0,19
Tyler Holton,SP,DET,FA,30,97,69,55,21,2,0,0,0,63
