mlbam_id,name,team,bats,elig,owner,games,week_pts,avg_mult,base_rate,pa_g,woba_30,pa_30,rank
664954,Brett Sullivan,Colorado Rockies,L,C,FA,7,25.2,1.252,0.963,2.99,0.22425531914893615,47.0,113
680757,Steven Kwan,Cleveland Guardians,L,OF,Dan,6,25.1,0.99,0.948,4.46,0.3677235772357723,123.0,114
702284,Cole Young,Seattle Mariners,L,2B,FA,6,25.1,1.132,0.942,3.92,0.2585148514851485,101.0,115
683002,Gunnar Henderson,Baltimore Orioles,L,SS,GK,6,25.1,1.058,0.942,4.2,0.324054054054054,111.0,116
667472,Dane Myers,Cincinnati Reds,R,OF,FA,7,25.0,1.091,0.968,3.38,0.3672413793103448,87.0,117
802139,JJ Wetherholt,St. Louis Cardinals,L,2B,THALER,6,25.0,0.97,0.982,4.37,0.26176470588235295,51.0,118
703601,Max Clark,Detroit Tigers,L,OF,CS,7,25.0,0.949,0.973,3.87,0.3676288659793814,100.0,119
669003,Garrett Mitchell,Milwaukee Brewers,L,OF,FA,6,25.0,1.159,1.015,3.55,0.4361842105263158,77.0,120
607208,Trea Turner,Philadelphia Phillies,R,SS,CS,6,24.9,0.98,0.949,4.46,0.25791304347826083,116.0,121
670623,Isaac Paredes,Houston Astros,R,3B,Dan,6,24.9,1.041,0.942,4.24,0.372,110.0,122
676724,Jared Young,New York Mets,L,1B,FA,7,24.8,1.027,0.963,3.57,0.29597826086956525,92.0,123
685133,Wade Meckler,Los Angeles Angels,L,OF,FA,7,24.8,1.054,0.969,3.47,0.359,71.0,124
691594,Javier Sanoja,Miami Marlins,R,3B/OF,CS,6,24.8,1.095,0.963,3.92,0.41036036036036033,112.0,125
693304,Nick Gonzales,Pittsburgh Pirates,R,2B/3B,CJF,6,24.6,1.011,0.957,4.24,0.3537777777777778,90.0,126
672695,Geraldo Perdomo,Arizona Diamondbacks,S,SS,CS,6,24.5,1.011,0.95,4.25,0.31072727272727274,114.0,127
665161,Jeremy Peña,Houston Astros,R,SS,CS,6,24.4,0.989,0.981,4.18,0.2961616161616162,99.0,128
678662,Ezequiel Tovar,Colorado Rockies,R,SS,FA,7,24.4,1.299,0.914,2.94,0.3029508196721311,62.0,129
695578,James Wood,Washington Nationals,L,OF,BB,5,24.3,1.017,1.083,4.42,0.34711111111111115,46.0,130
672386,Alejandro Kirk,Toronto Blue Jays,R,C,FA,6,24.2,0.976,0.973,4.24,0.36105263157894735,96.0,131
671976,Tristan Peters,Chicago White Sox,L,OF,Dpf,7,24.2,1.001,0.981,3.52,0.4015686274509803,102.0,132
671739,Michael Harris II,Atlanta Braves,L,OF,CS,6,24.1,0.994,1.013,4.0,0.3484403669724771,112.0,133
663538,Nico Hoerner,Chicago Cubs,R,2B/SS,Dan,6,24.0,0.986,0.966,4.21,0.27964285714285714,112.0,134
543807,George Springer,Toronto Blue Jays,R,UT,LTTA,6,23.9,1.062,0.964,3.89,0.4218681318681318,91.0,135
608369,Corey Seager,Texas Rangers,L,SS,BB,6,23.9,0.948,0.966,4.35,0.38778761061946904,114.0,136
800050,Chase DeLauter,Cleveland Guardians,L,OF,GK,6,23.8,1.008,0.997,3.95,0.3920289855072464,69.0,137
691723,Coby Mayo,Baltimore Orioles,R,3B,FA,6,23.8,1.081,0.978,3.76,0.4072448979591836,98.0,138
669364,Xavier Edwards,Miami Marlins,S,2B,LTTA,6,23.8,0.976,0.966,4.2,0.28847457627118644,59.0,139
805300,Jakob Marsee,Miami Marlins,L,OF,FA,6,23.8,1.033,0.96,3.99,0.395,104.0,140
687957,Dustin Harris,San Diego Padres,L,OF,FA,7,23.7,1.176,0.98,2.94,0.3412244897959184,50.0,141
650333,Luis Arraez,Philadelphia Phillies,L,2B,GLIZZY,6,23.7,1.028,0.956,4.01,0.3189108910891089,101.0,142
669065,Kyle Stowers,Miami Marlins,L,1B/OF,GLIZZY,6,23.7,0.983,0.963,4.17,0.32137499999999997,83.0,143
671277,Luis García Jr.,New York Yankees,L,1B,Dan,6,23.6,1.022,1.025,3.76,0.3832631578947368,95.0,144
672960,Kazuma Okamoto,Toronto Blue Jays,R,3B,Dpf,6,23.6,0.997,0.957,4.11,0.42135922330097086,103.0,145
575929,Willson Contreras,Boston Red Sox,R,1B,LTTA,6,23.6,0.915,1.006,4.26,0.3519672131147541,61.0,146
682626,Francisco Alvarez,New York Mets,R,C,FA,7,23.5,0.954,0.96,3.66,0.19547945205479453,73.0,147
