gamePk,date,gameDate,status,venue_id,venue,dayNight,doubleHeader,team_id,team,home,opp_id,opp,sp_id,sp_name,sp_source,opp_sp_id,opp_sp_name,opp_sp_source
823980,2026-09-15,2026-09-16T01:38:00Z,Scheduled,1,Angel Stadium,night,N,136,Seattle Mariners,False,108,Los Angeles Angels,669302.0,Logan Gilbert,listed,696270.0,Ryan Johnson,listed
825030,2026-09-15,2026-09-16T01:40:00Z,Scheduled,15,Chase Field,night,N,109,Arizona Diamondbacks,True,146,Miami Marlins,647336.0,Michael Soroka,listed,676083.0,Janson Junk,listed
825030,2026-09-15,2026-09-16T01:40:00Z,Scheduled,15,Chase Field,night,N,146,Miami Marlins,False,109,Arizona Diamondbacks,676083.0,Janson Junk,listed,647336.0,Michael Soroka,listed
824382,2026-09-16,2026-09-16T17:10:00Z,Scheduled,5,Progressive Field,day,N,114,Cleveland Guardians,True,145,Chicago White Sox,800048.0,Parker Messick,listed,663436.0,Davis Martin,projected
824382,2026-09-16,2026-09-16T17:10:00Z,Scheduled,5,Progressive Field,day,N,145,Chicago White Sox,False,114,Cleveland Guardians,663436.0,Davis Martin,projected,800048.0,Parker Messick,listed
823004,2026-09-16,2026-09-16T17:15:00Z,Scheduled,2889,Busch Stadium,day,N,138,St. Louis Cardinals,True,137,San Francisco Giants,669461.0,Matthew Liberatore,listed,,,
823004,2026-09-16,2026-09-16T17:15:00Z,Scheduled,2889,Busch Stadium,day,N,137,San Francisco Giants,False,138,St. Louis Cardinals,,,,669461.0,Matthew Liberatore,listed
823655,2026-09-16,2026-09-16T17:40:00Z,Scheduled,3312,Target Field,day,N,142,Minnesota Twins,True,147,New York Yankees,805673.0,Zebby Matthews,listed,607074.0,Carlos Rodón,listed
823655,2026-09-16,2026-09-16T17:40:00Z,Scheduled,3312,Target Field,day,N,147,New York Yankees,False,142,Minnesota Twins,607074.0,Carlos Rodón,listed,805673.0,Zebby Matthews,listed
822763,2026-09-16,2026-09-16T19:07:00Z,Scheduled,14,Rogers Centre,day,N,141,Toronto Blue Jays,True,116,Detroit Tigers,453286.0,Max Scherzer,listed,672456.0,Keider Montero,listed
822763,2026-09-16,2026-09-16T19:07:00Z,Scheduled,14,Rogers Centre,day,N,116,Detroit Tigers,False,141,Toronto Blue Jays,672456.0,Keider Montero,listed,453286.0,Max Scherzer,listed
822926,2026-09-16,2026-09-16T22:40:00Z,Scheduled,12,Tropicana Field,night,N,139,Tampa Bay Rays,True,133,Athletics,607259.0,Nick Martinez,listed,669620.0,Brady Basso,listed
822926,2026-09-16,2026-09-16T22:40:00Z,Scheduled,12,Tropicana Field,night,N,133,Athletics,False,139,Tampa Bay Rays,669620.0,Brady Basso,listed,607259.0,Nick Martinez,listed
823332,2026-09-16,2026-09-16T22:40:00Z,Scheduled,31,PNC Park,night,N,134,Pittsburgh Pirates,True,158,Milwaukee Brewers,683003.0,Jared Jones,listed,701656.0,Logan Henderson,listed
823332,2026-09-16,2026-09-16T22:40:00Z,Scheduled,31,PNC Park,night,N,158,Milwaukee Brewers,False,134,Pittsburgh Pirates,701656.0,Logan Henderson,listed,683003.0,Jared Jones,listed
824467,2026-09-16,2026-09-16T22:40:00Z,Scheduled,2602,Great American Ball Park,night,N,113,Cincinnati Reds,True,119,Los Angeles Dodgers,671096.0,Andrew Abbott,listed,605483.0,Blake Snell,listed
824467,2026-09-16,2026-09-16T22:40:00Z,Scheduled,2602,Great American Ball Park,night,N,119,Los Angeles Dodgers,False,113,Cincinnati Reds,605483.0,Blake Snell,listed,671096.0,Andrew Abbott,listed
822680,2026-09-16,2026-09-16T22:45:00Z,Scheduled,3309,Nationals Park,night,N,120,Washington Nationals,True,143,Philadelphia Phillies,676917.0,Cade Cavalli,listed,554430.0,Zack Wheeler,listed
822680,2026-09-16,2026-09-16T22:45:00Z,Scheduled,3309,Nationals Park,night,N,143,Philadelphia Phillies,False,120,Washington Nationals,554430.0,Zack Wheeler,listed,676917.0,Cade Cavalli,listed
823576,2026-09-16,2026-09-16T23:10:00Z,Scheduled,3289,Citi Field,night,N,121,New York Mets,True,110,Baltimore Orioles,476594.0,Robert Stock,listed,605135.0,Chris Bassitt,listed
823576,2026-09-16,2026-09-16T23:10:00Z,Scheduled,3289,Citi Field,night,N,110,Baltimore Orioles,False,121,New York Mets,605135.0,Chris Bassitt,listed,476594.0,Robert Stock,listed
824626,2026-09-16,2026-09-16T23:40:00Z,Scheduled,17,Wrigley Field,night,N,112,Chicago Cubs,True,144,Atlanta Braves,684007.0,Shota Imanaga,listed,702275.0,JR Ritchie,listed
824626,2026-09-16,2026-09-16T23:40:00Z,Scheduled,17,Wrigley Field,night,N,144,Atlanta Braves,False,112,Chicago Cubs,702275.0,JR Ritchie,listed,684007.0,Shota Imanaga,listed
822846,2026-09-16,2026-09-17T00:05:00Z,Scheduled,5325,Globe Life Field,night,N,140,Texas Rangers,True,111,Boston Red Sox,669022.0,MacKenzie Gore,listed,687562.0,Jake Bennett,listed
822846,2026-09-16,2026-09-17T00:05:00Z,Scheduled,5325,Globe Life Field,night,N,111,Boston Red Sox,False,140,Texas Rangers,687562.0,Jake Bennett,listed,669022.0,MacKenzie Gore,listed
824140,2026-09-16,2026-09-17T00:10:00Z,Scheduled,2392,Daikin Park,night,N,117,Houston Astros,True,118,Kansas City Royals,664299.0,Cristian Javier,listed,663738.0,Daniel Lynch IV,listed
824140,2026-09-16,2026-09-17T00:10:00Z,Scheduled,2392,Daikin Park,night,N,118,Kansas City Royals,False,117,Houston Astros,663738.0,Daniel Lynch IV,listed,664299.0,Cristian Javier,listed
824306,2026-09-16,2026-09-17T00:40:00Z,Scheduled,19,Coors Field,night,N,115,Colorado Rockies,True,135,San Diego Padres,690279.0,Mason Adams,listed,592662.0,Robbie Ray,listed
824306,2026-09-16,2026-09-17T00:40:00Z,Scheduled,19,Coors Field,night,N,135,San Diego Padres,False,115,Colorado Rockies,592662.0,Robbie Ray,listed,690279.0,Mason Adams,listed
823979,2026-09-16,2026-09-17T01:38:00Z,Scheduled,1,Angel Stadium,night,N,108,Los Angeles Angels,True,136,Seattle Mariners,579328.0,Yusei Kikuchi,listed,669923.0,George Kirby,listed
823979,2026-09-16,2026-09-17T01:38:00Z,Scheduled,1,Angel Stadium,night,N,136,Seattle Mariners,False,108,Los Angeles Angels,669923.0,George Kirby,listed,579328.0,Yusei Kikuchi,listed
825031,2026-09-16,2026-09-17T01:40:00Z,Scheduled,15,Chase Field,night,N,109,Arizona Diamondbacks,True,146,Miami Marlins,518876.0,Merrill Kelly,listed,687473.0,Ryan Gusto,listed
825031,2026-09-16,2026-09-17T01:40:00Z,Scheduled,15,Chase Field,night,N,146,Miami Marlins,False,109,Arizona Diamondbacks,687473.0,Ryan Gusto,listed,518876.0,Merrill Kelly,listed
